id;cca2;continents;currencies;flag;languages;population;capital;bbox
77a1f171-eafe-4f73-8243-e07aaf1770a7;GT;North America;Guatemalan quetzal;🇬🇹;Spanish;18079810;Guatemala City;-92.23515625,13.7365234375,-88.2283203125,17.81640625
21474e99-2784-4434-a304-67369e83345e;GM;Africa;dalasi;🇬🇲;English;2422712;Banjul;-16.8248046875,13.0641601562,-13.8267089844,13.812109375
ec8446c1-e98b-4b7e-b2fd-2036b94f441d;MX;North America;Mexican peso;🇲🇽;Spanish;130575786;Mexico City;-118.401367187,14.5454101562,-86.6962890625,32.7153320313
0bc175ba-2777-425f-82c6-9e386c8a050c;MW;Africa;Malawian kwacha;🇲🇼;English,Chewa;20734262;Lilongwe;32.6704101562,-17.1310546875,35.8927734375,-9.39501953125
41e0fb82-7b69-4159-8a8c-d6edd5cd5c48;AR;South America;Argentine peso;🇦🇷;Guaraní,Spanish;46735004;Buenos Aires;-73.5762695312,-55.0321289062,-53.6685546875,-21.8025390625
03019813-5003-43b4-ae6e-8d890a263ed2;BG;Europe;Bulgarian lev;🇧🇬;Bulgarian;6437360;Sofia;22.3440429688,41.2435546875,28.5853515625,44.2377929688
c058a836-6d52-41e9-9c5f-aad457dac778;DM;North America;Eastern Caribbean dollar;🇩🇲;English;67408;Roseau;-61.4811523437,15.2272949219,-61.2510742187,15.6331054688
5e723d16-5aad-4fe8-b89b-4af9f54bc394;GB;Europe;British pound;🇬🇧;English;69281437;London;-8.14482421875,50.0213867188,1.74658203125,60.8318847656
1668ff64-f52c-4167-b41c-c94dff94a941;FM;Oceania;United States dollar;🇫🇲;English;105564;Palikir;138.061914063,5.27724609375,162.993457031,9.59331054687
2aae17e7-4184-47e9-8e74-0f05390dd8fc;RW;Africa;Rwandan franc;🇷🇼;English,French,Kinyarwanda;14104969;Kigali;28.8576171875,-2.80859375,30.8765625,-1.0630859375
b5177c10-df69-428a-80f4-b71ae9f873e7;UZ;Asia;Uzbekistani soʻm;🇺🇿;Russian,Uzbek;37859698;Tashkent;55.9756835938,37.1722167969,73.1369140625,45.5553710938
